Username,Country,Title,Date Watched,Percentage Watched
ucurtis,Australia,Lupin,2022-11-07,31
ucurtis,Australia,The Crown,2023-03-25,87
ucurtis,Australia,The Society,2022-10-25,65
ucurtis,Australia,Jessica Jones,2023-04-14,80
ucurtis,Australia,Dark,2022-12-19,41
ucurtis,Australia,Daredevil,2023-05-25,68
ucurtis,Australia,Russian Doll,2023-03-09,54
ucurtis,Australia,The Dragon Prince,2023-03-22,23
ucurtis,Australia,The Last Kingdom,2022-08-31,60
ucurtis,Australia,The Walking Dead,2022-09-13,15
ucurtis,Australia,Ratched,2023-05-16,80
ucurtis,Australia,Peaky Blinders,2023-03-19,42
ucurtis,Australia,The Big Bang Theory,2022-08-10,30
ucurtis,Australia,Money Heist (La Casa de Papel),2023-06-06,12
ucurtis,Australia,The End of the F***ing World,2022-06-25,36
ucurtis,Australia,Elite,2022-10-28,19
ucurtis,Australia,The Politician,2023-04-28,51
ucurtis,Australia,Friends,2023-03-21,25
watsonmandy,Turkey,The Haunting of Hill House,2022-10-01,35
watsonmandy,Turkey,Bridgerton,2023-03-21,47
watsonmandy,Turkey,Lupin,2022-07-15,3
watsonmandy,Turkey,Lucifer,2022-11-05,94
watsonmandy,Turkey,13 Reasons Why,2022-09-16,32
watsonmandy,Turkey,Breaking Bad,2023-01-02,38
watsonmandy,Turkey,The Society,2022-06-26,54
watsonmandy,Turkey,Brooklyn Nine-Nine,2022-11-27,39
watsonmandy,Turkey,Russian Doll,2023-02-28,55
watsonmandy,Turkey,Emily in Paris,2022-09-20,86
watsonmandy,Turkey,The Queen's Gambit,2022-09-12,13
watsonmandy,Turkey,The Office (US),2023-04-24,36
watsonmandy,Turkey,Stranger Things,2022-11-27,80
watsonmandy,Turkey,The End of the F***ing World,2022-12-19,22
watsonmandy,Turkey,GLOW,2022-12-24,15
watsonmandy,Turkey,The Witcher,2023-04-14,69
watsonmandy,Turkey,Sex Education,2022-08-18,90
watsonmandy,Turkey,Dead to Me,2023-05-29,23
angelatownsend,United States,Better Call Saul,2023-01-21,6
angelatownsend,United States,The Society,2022-11-28,8
angelatownsend,United States,Sex Education,2022-08-08,41
angelatownsend,United States,Homeland,2022-06-10,75
angelatownsend,United States,Dark,2022-10-05,68
angelatownsend,United States,Stranger Things,2022-09-14,82
angelatownsend,United States,The Witcher,2023-04-25,78
angelatownsend,United States,Locke & Key,2023-05-25,86
angelatownsend,United States,Sense8,2022-08-27,7
angelatownsend,United States,The End of the F***ing World,2022-12-16,7
angelatownsend,United States,13 Reasons Why,2023-03-01,82
angelatownsend,United States,The Umbrella Academy,2022-06-15,7
angelatownsend,United States,The Order,2023-01-16,92
angelatownsend,United States,Daredevil,2023-06-05,89
angelatownsend,United States,Orange Is the New Black,2022-10-18,58
angelatownsend,United States,Dead to Me,2022-12-29,98
angelatownsend,United States,The Big Bang Theory,2023-01-21,1
angelatownsend,United States,Breaking Bad,2022-06-09,59
angelatownsend,United States,Arrested Development,2022-07-11,61
angelatownsend,United States,Bridgerton,2022-08-25,74
amanning,Canada,Dead to Me,2023-03-03,47
amanning,Canada,Lupin,2022-11-14,16
amanning,Canada,Dark,2022-06-28,42
amanning,Canada,The Last Kingdom,2023-02-03,34
amanning,Canada,Money Heist (La Casa de Papel),2022-11-12,48
amanning,Canada,GLOW,2022-12-11,5
scotttara,Turkey,Narcos,2023-04-07,0
scotttara,Turkey,The Good Place,2023-04-10,29
scotttara,Turkey,The Umbrella Academy,2022-06-25,72
scotttara,Turkey,GLOW,2022-08-31,11
scotttara,Turkey,The Witcher,2022-11-26,38
scotttara,Turkey,Sex Education,2023-03-07,5
jamie83,United States,Stranger Things,2023-02-20,35
jamie83,United States,Dead to Me,2022-09-15,76
jamie83,United States,The Good Place,2022-08-26,81
jamie83,United States,Ozark,2022-08-11,21
jamie83,United States,Peaky Blinders,2023-06-06,72
jamie83,United States,The Punisher,2022-06-18,19
jamie83,United States,Altered Carbon,2023-04-18,55
jamie83,United States,Brooklyn Nine-Nine,2023-01-21,63
jamie83,United States,Locke & Key,2022-07-05,68
jamie83,United States,The Big Bang Theory,2022-09-11,20
jamie83,United States,Cobra Kai,2022-07-27,69
jamie83,United States,The Society,2023-04-29,77
jamie83,United States,GLOW,2022-11-15,25
jamie83,United States,The Queen's Gambit,2023-06-06,17
jamie83,United States,The End of the F***ing World,2022-09-09,11
jamie83,United States,Arrested Development,2022-12-27,31
jamie83,United States,Orange Is the New Black,2022-09-08,5
jamie83,United States,BoJack Horseman,2023-02-12,80
jamie83,United States,The Witcher,2023-01-18,78
middletontristan,Australia,The Dragon Prince,2023-01-16,64
middletontristan,Australia,The Good Place,2023-03-04,80
middletontristan,Australia,Stranger Things,2023-02-05,96
middletontristan,Australia,Ratched,2022-10-20,15
middletontristan,Australia,GLOW,2022-07-27,95
janicevincent,South Korea,Ozark,2023-01-13,44
janicevincent,South Korea,The Crown,2023-03-22,82
janicevincent,South Korea,Narcos,2022-08-28,44
janicevincent,South Korea,The Society,2023-04-15,46
janicevincent,South Korea,Dead to Me,2022-12-05,57
janicevincent,South Korea,Orange Is the New Black,2023-01-15,27
janicevincent,South Korea,Altered Carbon,2023-01-24,84
janicevincent,South Korea,Mindhunter,2023-06-04,67
janicevincent,South Korea,The End of the F***ing World,2023-04-11,76
janicevincent,South Korea,Lucifer,2023-03-16,79
janicevincent,South Korea,Emily in Paris,2022-08-18,11
janicevincent,South Korea,The Walking Dead,2022-07-09,5
janicevincent,South Korea,The Good Place,2022-10-19,80
janicevincent,South Korea,The Queen's Gambit,2023-01-10,25
jfoster,United Kingdom,Locke & Key,2023-03-19,4
jfoster,United Kingdom,Daredevil,2022-12-08,28
jfoster,United Kingdom,Money Heist (La Casa de Papel),2022-08-18,70
jfoster,United Kingdom,Dark,2023-05-01,98
jfoster,United Kingdom,The Big Bang Theory,2023-02-01,91
jfoster,United Kingdom,Lucifer,2023-05-20,32
staceyhernandez,Canada,The Umbrella Academy,2023-04-18,10
staceyhernandez,Canada,Emily in Paris,2022-08-23,5
staceyhernandez,Canada,Peaky Blinders,2022-06-22,8
staceyhernandez,Canada,Daredevil,2023-05-27,15
staceyhernandez,Canada,The Witcher,2022-12-01,86
staceyhernandez,Canada,Ratched,2023-03-24,84
staceyhernandez,Canada,The Good Place,2022-08-22,86
staceyhernandez,Canada,Orange Is the New Black,2022-06-14,23
staceyhernandez,Canada,Ozark,2023-02-13,33
staceyhernandez,Canada,Money Heist (La Casa de Papel),2022-07-21,59
curtisrachel,South Korea,The Good Place,2022-10-08,77
curtisrachel,South Korea,Stranger Things,2023-05-21,4
curtisrachel,South Korea,Altered Carbon,2023-04-26,55
curtisrachel,South Korea,Lucifer,2022-09-20,13
curtisrachel,South Korea,13 Reasons Why,2023-01-12,13
curtisrachel,South Korea,Mindhunter,2023-03-31,11
curtisrachel,South Korea,The Crown,2023-03-27,7
curtisrachel,South Korea,Money Heist (La Casa de Papel),2022-12-15,96
curtisrachel,South Korea,Friends,2022-08-25,84
curtisrachel,South Korea,The End of the F***ing World,2022-08-27,28
curtisrachel,South Korea,The Society,2022-12-25,83
curtisrachel,South Korea,The Dragon Prince,2022-10-29,100
curtisrachel,South Korea,GLOW,2022-12-12,63
curtisrachel,South Korea,The Order,2023-05-18,33
curtisrachel,South Korea,The Big Bang Theory,2023-01-02,50
curtisrachel,South Korea,Locke & Key,2023-04-03,50
curtisrachel,South Korea,The Office (US),2023-04-29,91
curtisrachel,South Korea,The Queen's Gambit,2023-02-07,25
curtisrachel,South Korea,Vikings,2023-04-12,21
brandonwhite,Brazil,The Haunting of Hill House,2022-10-11,85
brandonwhite,Brazil,The Witcher,2023-01-06,57
brandonwhite,Brazil,Homeland,2022-12-14,9
brandonwhite,Brazil,Cobra Kai,2023-06-02,73
brandonwhite,Brazil,Daredevil,2023-02-22,38
brandonwhite,Brazil,13 Reasons Why,2023-05-10,75
brandonwhite,Brazil,The End of the F***ing World,2023-05-06,30
jalvarez,South Korea,Cobra Kai,2023-04-21,57
jalvarez,South Korea,The Crown,2023-01-13,38
jalvarez,South Korea,The Walking Dead,2023-04-14,87
jalvarez,South Korea,Vikings,2023-02-03,94
jalvarez,South Korea,The Umbrella Academy,2023-01-18,87
jalvarez,South Korea,Brooklyn Nine-Nine,2023-01-27,11
jalvarez,South Korea,Emily in Paris,2022-08-21,6
jalvarez,South Korea,Ozark,2023-04-23,2
jalvarez,South Korea,Jessica Jones,2023-05-19,6
johnmartin,India,Dark,2022-07-31,98
johnmartin,India,Emily in Paris,2022-07-12,21
johnmartin,India,Homeland,2022-11-22,11
johnmartin,India,Breaking Bad,2023-05-09,8
johnmartin,India,Russian Doll,2022-11-11,74
johnmartin,India,Cobra Kai,2022-08-25,94
johnmartin,India,The Umbrella Academy,2022-12-06,43
johnmartin,India,13 Reasons Why,2022-09-14,60
johnmartin,India,The Good Place,2022-08-14,67
johnmartin,India,Narcos,2022-09-23,89
johnmartin,India,Stranger Things,2023-03-15,93
johnmartin,India,The Crown,2022-09-29,83
johnmartin,India,Sex Education,2022-10-28,8
johnmartin,India,The Dragon Prince,2023-03-09,72
johnmartin,India,Better Call Saul,2022-12-17,14
johnmartin,India,The Witcher,2023-02-23,45
abradshaw,India,Daredevil,2023-05-27,66
abradshaw,India,The Umbrella Academy,2022-10-02,65
abradshaw,India,Ratched,2023-02-26,46
abradshaw,India,Sense8,2022-11-19,22
abradshaw,India,Bridgerton,2022-10-10,39
abradshaw,India,Peaky Blinders,2022-12-02,84
abradshaw,India,Ozark,2022-07-15,23
abradshaw,India,Mindhunter,2022-06-07,46
abradshaw,India,Jessica Jones,2022-12-06,72
abradshaw,India,The Politician,2022-10-13,16
abradshaw,India,Altered Carbon,2022-12-11,67
abradshaw,India,The Last Kingdom,2022-12-23,52
abradshaw,India,Vikings,2023-05-31,59
abradshaw,India,Cobra Kai,2023-04-09,25
